prompt_ix,split
604,train
503,train
633,train
552,train
45,train
188,train
268,train
314,train
713,train
724,train
10,train
348,train
404,train
274,train
140,train
733,train
196,train
291,train
279,train
491,train
510,train
460,train
86,train
72,train
199,train
110,train
128,train
627,train
536,train
643,train
325,train
14,train
269,train
226,train
341,train
509,train
308,train
737,train
579,train
180,train
339,train
388,train
473,train
520,train
396,train
587,train
7,train
136,train
311,train
288,train
17,train
170,train
51,train
62,train
264,train
334,train
232,train
343,train
182,train
115,train
492,train
533,train
368,train
247,train
26,train
235,train
84,train
442,train
567,train
107,train
213,train
620,train
202,train
277,train
426,train
576,train
4,train
428,train
11,train
167,train
298,train
569,train
124,train
248,train
424,train
727,train
659,train
178,train
553,train
440,train
103,train
88,train
46,train
20,train
637,train
373,train
171,train
89,train
519,train
393,train
340,train
295,train
203,train
516,train
61,train
109,train
522,train
285,train
259,train
67,train
219,train
183,train
720,train
521,train
102,train
455,train
601,train
672,train
37,train
13,train
411,train
551,train
674,train
376,train
92,train
63,train
356,train
132,train
555,train
415,train
299,train
155,train
592,train
186,train
676,train
211,train
434,train
648,train
525,train
138,train
546,train
24,train
504,train
657,train
276,train
680,train
419,train
365,train
353,train
57,train
174,train
371,train
31,train
70,train
362,train
550,train
53,train
573,train
489,train
588,train
18,train
189,train
517,train
231,train
559,train
481,train
612,train
65,train
452,train
134,train
466,train
244,train
655,train
673,train
52,train
54,train
338,train
154,train
663,train
96,train
98,train
405,train
454,train
605,train
603,train
223,train
741,train
99,train
240,train
565,train
310,train
85,train
666,train
634,train
118,train
526,train
409,train
563,train
686,train
558,train
746,train
482,train
304,train
691,train
734,train
221,train
40,train
29,train
748,train
22,train
309,train
518,train
689,train
243,train
586,train
209,train
76,train
487,train
44,train
254,train
345,train
2,train
625,train
617,train
702,train
318,train
472,train
331,train
616,train
471,train
193,train
330,train
719,train
260,train
437,train
8,train
313,train
335,train
384,train
81,train
735,train
458,train
172,train
148,train
249,train
524,train
246,train
602,train
101,train
478,train
266,train
618,train
239,train
483,train
306,train
610,train
157,train
422,train
168,train
591,train
475,train
250,train
164,train
514,train
297,train
723,train
307,train
614,train
220,train
410,train
292,train
501,train
323,train
596,train
374,train
290,train
289,train
547,train
77,train
238,train
650,train
383,train
187,train
133,train
163,train
74,train
621,train
403,train
652,train
468,train
736,train
83,train
236,train
528,train
488,train
161,train
185,train
400,train
649,train
480,train
117,train
64,train
50,train
490,train
685,train
36,train
370,train
386,train
56,train
665,train
554,train
664,train
160,train
104,train
670,train
556,train
675,train
725,train
73,train
270,train
535,train
267,train
23,train
619,train
212,train
262,train
377,train
5,train
372,train
688,train
427,train
646,train
638,train
406,train
497,train
139,train
328,train
357,train
294,train
457,train
156,train
529,train
539,train
493,train
420,train
589,train
590,train
647,train
206,train
721,train
662,train
408,train
698,train
108,train
93,train
450,train
470,train
570,train
575,train
572,train
68,train
222,train
215,train
660,train
484,train
28,train
743,train
256,train
389,train
479,train
511,train
364,train
681,train
49,train
507,train
402,train
630,train
728,train
137,train
707,train
363,train
658,train
557,train
709,train
166,train
645,train
16,train
233,train
438,train
678,train
105,train
613,train
316,train
159,train
715,train
284,train
423,train
615,train
624,train
100,train
9,train
418,train
214,train
204,train
257,train
583,train
230,train
175,train
632,train
217,train
201,train
463,train
527,train
6,train
671,train
731,train
305,train
375,train
561,train
712,train
205,train
210,train
146,train
286,train
216,train
322,train
413,train
710,train
505,train
320,train
644,train
329,train
448,train
706,train
397,train
608,train
695,train
544,train
704,train
425,train
111,train
636,train
447,train
251,train
433,train
91,train
749,train
342,train
628,train
390,train
684,train
432,train
352,train
485,train
545,train
150,train
585,train
90,train
730,train
333,train
265,train
464,train
27,train
597,train
523,train
391,train
690,train
449,train
125,train
640,train
42,train
687,train
429,train
486,train
130,train
711,train
580,train
41,train
287,train
143,train
600,train
465,train
651,train
361,train
498,train
656,train
609,train
80,train
319,train
500,train
337,train
165,train
729,train
87,train
35,train
494,train
540,train
263,train
417,train
350,train
15,train
641,train
158,train
275,train
598,train
392,train
476,train
358,train
697,train
354,train
149,train
477,train
502,train
324,train
184,train
582,train
218,train
456,train
173,train
381,train
261,train
631,train
39,train
283,train
58,train
626,train
191,train
321,train
416,train
312,train
745,train
467,train
414,train
700,train
237,train
584,train
571,train
12,train
302,train
694,train
127,train
562,train
679,train
444,train
366,train
198,train
399,train
123,train
446,train
245,train
207,train
359,train
599,train
326,train
228,train
225,train
692,train
716,train
194,train
181,train
606,train
542,train
258,train
696,train
177,train
141,train
412,train
144,train
398,train
708,train
407,train
577,train
453,train
60,train
242,train
315,train
530,train
578,train
347,train
336,train
512,train
718,train
75,train
317,train
346,train
153,train
369,train
119,train
474,train
97,train
566,train
732,train
654,train
151,train
682,train
385,train
395,train
33,train
303,train
469,train
534,train
190,train
435,train
229,train
538,train
200,train
531,train
581,train
461,train
131,train
667,train
439,train
394,train
508,train
30,train
59,train
48,train
227,train
82,train
280,train
293,train
379,train
401,train
499,train
208,train
152,train
568,train
47,train
32,train
255,train
112,train
739,train
431,train
595,train
241,train
43,train
300,train
349,train
642,train
740,train
79,train
252,train
327,train
94,train
611,train
436,train
234,train
179,train
197,train
55,train
162,train
560,train
114,train
296,train
445,train
360,train
71,train
78,train
693,train
635,train
278,train
441,train
271,train
19,train
541,train
253,train
747,train
113,train
669,train
459,train
355,train
121,train
629,train
135,train
192,train
532,heldout
282,heldout
195,heldout
513,heldout
738,heldout
66,heldout
594,heldout
639,heldout
380,heldout
224,heldout
332,heldout
145,heldout
506,heldout
1,heldout
142,heldout
574,heldout
462,heldout
3,heldout
382,heldout
705,heldout
116,heldout
495,heldout
515,heldout
281,heldout
593,heldout
742,heldout
69,heldout
622,heldout
722,heldout
726,heldout
387,heldout
668,heldout
129,heldout
549,heldout
272,heldout
122,heldout
564,heldout
126,heldout
120,heldout
344,heldout
367,heldout
21,heldout
548,heldout
147,heldout
378,heldout
95,heldout
699,heldout
25,heldout
701,heldout
623,heldout
543,heldout
38,heldout
653,heldout
537,heldout
106,heldout
351,heldout
34,heldout
714,heldout
607,heldout
169,heldout
496,heldout
273,heldout
703,heldout
0,heldout
717,heldout
677,heldout
430,heldout
661,heldout
744,heldout
301,heldout
176,heldout
683,heldout
421,heldout
443,heldout
451,heldout
